geneSymbol	B_cells	CD4T_memory	CD8T_B	CD8T_G	Dendritic_cells	Monocytes_Macrophages	NK1	NK2	NK3	Plasma_cells	Tregs
A2M	0.0549894440534835	0.792848043676069	1.12685109845403	1.54858226178701	0.180254545454545	2.93363161819538	1.0561555075594	1.65634978991597	1.62432809773124	0.00272413793103448	0.206900228484387
AAK1	0.0618789584799437	3.93558689717925	3.09121643612693	3.23072205736894	0.732618181818182	2.47495898583147	3.74466522678186	3.17496848739496	3.23398778359511	0.778137931034483	3.67973343488195
AC010441.1	0.00539057002111189	0.266915377616015	0.0953580146460537	0.184226838114078	4.36214545454545	1.6385980611484	0.242634989200864	0.262436974789916	0.140453752181501	0.0492068965517241	0.362315308453922
AC017002.1	0.0239549612948628	0.249308462238399	2.13060211554109	0.408074513682822	0.0813454545454546	0.36082774049217	2.49203023758099	0.480703781512605	1.90320244328098	0.584793103448276	3.35728103579589
AC069363.1	0.0038423645320197	0.0114649681528662	2.33711147274207	0.789350478074514	0.0355636363636364	1.11409395973154	0.933304535637149	0.739033613445378	2.08990401396161	0.0156551724137931	0.281607006854532
AC092580.4	0.00387051372273047	0.921992720655141	3.41656224572823	1.65743158588856	0	0.0170768083519761	2.1238444924406	1.41082983193277	2.94234729493892	0.0223448275862069	0.941302361005331
AC096579.7	4.76926812104152	0.0368061874431301	0.0638812042310822	0.0403659742828882	9.42465454545455	0.11503355704698	0.203261339092873	0.0581197478991597	0.0815968586387435	8.50396551724138	0.0559101294744859
ACVR2A	0.134926108374384	0.76189262966333	0.0451708706265256	0.167629409825256	0.298727272727273	0.984459358687547	0.164406047516199	0.366433823529412	0.115479930191972	0.262586206896552	0.378636709824829
ADAM28	5.96448979591837	0.053803457688808	0.279080553295362	0.183639960435213	0.632509090909091	2.13219985085757	0.288790496760259	0.240052521008403	0.455584642233857	1.91906896551724	0.157501904036557
ADAP2	0.0954046446164673	0.0115832575068244	0.00923108218063466	0.00741510056050116	0.219890909090909	3.24238627889635	0	0.0177100840336134	0.0112129144851658	0.0876206896551724	0.0261081492764661
ADRB2	0.544644616467277	0.366205641492266	0.491741253051261	1.10351796900758	0.704072727272727	1.10136465324385	0.465421166306695	1.37515756302521	0.593682373472949	0.50648275862069	0.106138613861386
AFAP1L2	0.0971780436312456	0.0658143767060965	1.79058991049634	0.283165182987141	0	0.0204772557792692	1.4488120950324	0.219590336134454	1.49512216404887	0.0191724137931034	0.202482863670983
AFF3	3.20024630541872	0.266169244767971	0.0316151342554923	0.0554104846686449	3.32145454545455	0.370260999254288	0.276695464362851	0.106118697478992	0.228184991273996	0.00610344827586207	0.112597105864433
AGPAT4	0.172125263898663	0.238798908098271	0.149552481692433	0.363320145070887	0.602290909090909	0.899761372110365	0.337624190064795	0.645997899159664	0.256692844677138	0.0872068965517241	0.24971058644326
AIM1	0.858564391273751	1.92706096451319	1.32155410903173	2.22489943949885	0.765418181818182	1.89736017897092	2.4077969762419	1.9703781512605	1.34841186736475	0.126620689655172	1.69222391469916
ALOX5	3.14881069669247	0.118835304822566	0.0321724979658259	0.0578667985492911	0.556945454545455	5.87548098434005	0.201231101511879	0.0501155462184874	0.0313525305410122	0.42351724137931	0.0607920792079208
AMIGO3	0.262258972554539	0.275878070973612	0.326944670463792	0.239063633366304	3.21454545454545	0.268530947054437	0.768725701943844	0.288314075630252	0.294677137870855	0.936931034482758	0.226237623762376
ANK3	0.404553131597467	1.56703366696997	0.202737998372661	0.72468183316848	0.201745454545455	0.0585533184190902	0.377213822894168	0.844747899159664	0.430157068062827	0.0203103448275862	0.438400609291698
ANKRD28	0.415017593244194	0.755204731574158	0.875809601301871	0.855703923508078	0.773381818181818	1.23512304250559	1.14317494600432	0.84734243697479	0.789284467713787	4.4918275862069	0.7003808073115
ANKRD36BP2	0.117262491203378	0.194576888080073	0.149084621643613	0.11271018793274	0.101418181818182	0.0328784489187174	0.214989200863931	0.0983771008403361	0.133211169284468	3.26103448275862	0.125460776846915
ANPEP	0.0100281491907108	0.0282256596906278	0.0130716029292107	0.0139894493900429	0.0681818181818182	4.59640566741238	0.000993520518358531	0.0146743697478992	0.00368237347294939	0.0109310344827586	0.011964965727342
ANXA1	0.0642716396903589	4.3430118289354	4.30974369406021	5.51768216287504	1.01123636363636	8.10941088739746	4.04006479481641	6.05227941176471	4.24680628272251	0.109275862068966	1.73785986290937
AOAH	0.0639479239971851	0.987843494085532	2.98985353946298	3.97030992416749	0.0474181818181818	5.17702460850112	1.55356371490281	3.53216386554622	3.6515445026178	0.106551724137931	0.390517897943641
